Comp,BID,SID,CID,rg,asph,acyl,anis,num dom,seg,avgsize,maxsize,eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8,eig9,eig10,n_eig
0.1,0.2,4,5,16.24916359,141.574809,67.29352471,0.342450698,4,140,65,187,0.000192039,0.000590097,0.001222384,0.001878853,0.003162341,0.005569549,0.00616665,0.008375202,0.010038092,0.011877461,1.01E-05
0.1,0.2,4,6,11.84133536,70.09288366,31.2883396,0.298675546,1,56,344,344,0.000497666,0.00125038,0.002547112,0.00531733,0.006644861,0.007072492,0.009788838,0.010173179,0.012638734,0.015453385,2.49E-05
0.1,0.2,4,7,11.79635497,54.57214585,30.07287233,0.202072177,4,77,80.75,169,0.000461549,0.000624832,0.002373465,0.002838024,0.003661492,0.007658617,0.009013832,0.00949294,0.011240932,0.012181867,2.31E-05
0.1,0.2,4,8,15.65455193,146.1626546,60.80012247,0.401953249,5,118,56.4,187,0.000150933,0.000901926,0.001323623,0.002053782,0.003538603,0.004097333,0.005050728,0.006893842,0.010982396,0.011267014,7.94E-06
0.1,0.2,4,9,11.46466533,45.86988431,24.79530266,0.162192928,2,74,163,318,0.000893402,0.001239645,0.001386139,0.002462911,0.00412413,0.00510885,0.007545541,0.008721028,0.009438075,0.012002635,4.47E-05
0.1,0.2,4,10,14.35940279,111.5651621,46.87238323,0.337413499,4,101,74.75,164,0.000265076,0.00084276,0.00136365,0.002085079,0.003184988,0.003832488,0.008747251,0.010381843,0.012715697,0.013704644,1.33E-05
0.1,0.2,4,11,10.92204718,39.77564486,21.84992456,0.149077433,2,74,163,318,0.000782983,0.001340806,0.002103879,0.003147663,0.00427949,0.006662319,0.008452533,0.009615525,0.011445905,0.014214292,3.91E-05
0.1,0.2,4,12,12.43450174,61.9339681,31.30003049,0.20544987,2,74,163,318,0.000578809,0.001053999,0.001356609,0.002312553,0.003146691,0.006525542,0.00715934,0.009133227,0.009721738,0.012389487,2.89E-05
0.1,0.2,4,13,11.57902986,49.12721224,24.95597796,0.173539549,2,76,162,295,0.000738314,0.001067676,0.001698626,0.003347092,0.00543181,0.006069111,0.008610773,0.010272668,0.01161777,0.014614333,3.69E-05
0.1,0.2,4,14,11.45143864,57.56623416,27.04672736,0.239544926,1,56,344,344,0.000747159,0.001117108,0.001621601,0.002362565,0.00443796,0.006334336,0.007539499,0.009337176,0.010795943,0.011710211,3.74E-05
0.1,0.2,4,15,14.11631434,104.0041098,44.73536359,0.317233,4,103,74.25,210,0.000239788,0.00119786,0.001332039,0.001565134,0.003107461,0.004752151,0.006116988,0.007236602,0.008995893,0.011055202,1.20E-05
0.1,0.2,4,16,12.4861102,75.19975166,33.96665386,0.27649383,4,98,75.5,257,0.00034714,0.001331779,0.001928481,0.002115275,0.003176419,0.00646403,0.006620323,0.007617024,0.010085199,0.011734803,1.74E-05
0.1,0.2,4,17,13.13710355,96.5573142,41.8237264,0.361672452,3,76,108,174,0.000263786,0.001249605,0.001687336,0.002269207,0.004420749,0.006652056,0.007175617,0.008916331,0.009732181,0.009940132,1.39E-05
0.1,0.2,4,18,11.20370901,56.71592906,24.14819482,0.242046699,2,66,167,310,0.000531785,0.002401568,0.002706321,0.004058577,0.004719138,0.008041564,0.009001419,0.011316439,0.0124799,0.014438236,2.66E-05
0.1,0.2,4,19,13.29134403,91.89136982,39.0327782,0.316892399,3,103,99,210,0.000261274,0.001308016,0.001496693,0.001577119,0.004208813,0.0061417,0.009479291,0.010325636,0.012443686,0.013658837,1.31E-05
0.1,0.2,4,20,11.04005424,41.96197963,23.32443086,0.158469433,2,74,163,318,0.000765456,0.001199887,0.002217451,0.00260901,0.003876755,0.005383263,0.00892866,0.010164261,0.011136611,0.012850763,3.83E-05
0.1,0.2,4,21,14.20005057,115.1406566,51.97470292,0.382429461,4,103,74.25,210,0.000226758,0.001151274,0.001536619,0.002627089,0.003308391,0.007149538,0.008770515,0.009615617,0.011062631,0.012471834,1.13E-05
0.1,0.2,4,22,12.41196184,73.67435271,33.93817042,0.277317791,2,67,166.5,213,0.000393104,0.000995924,0.002334969,0.004210156,0.004561693,0.004910242,0.008502582,0.008790827,0.010771926,0.011532815,1.97E-05
0.1,0.2,4,23,13.47786073,93.76250438,41.74779728,0.317284016,3,87,104.3333333,164,0.000325694,0.000944432,0.001440886,0.003367279,0.003627487,0.006377575,0.008247392,0.010009948,0.010519248,0.013759791,1.63E-05
