# DATE: 2022-15-2022  UNITS: lj


WCA
N 1000 R 0.3 1.3

422 0.7214214214214214 173.90146603915738 3112.000306802032
423 0.7224224224224224 170.81523870715358 3054.4711888635866
424 0.7234234234234234 167.7860336018894 2998.0659697398937
425 0.7244244244244245 164.81273740844406 2942.761341504377
426 0.7254254254254254 161.89425988544528 2888.534509120942
427 0.7264264264264264 159.02953335766884 2835.363178493263
428 0.7274274274274274 156.21751222045626 2783.2255448082265
429 0.7284284284284284 153.45717245565618 2732.1002811658377
430 0.7294294294294295 150.7475111588075 2681.9665274882063
431 0.7304304304304304 148.08754607728713 2632.803879700364
432 0.7314314314314314 145.47631515915415 2584.5923791758896
433 0.7324324324324325 142.9128761124305 2537.312502440562
434 0.7334334334334334 140.39630597456213 2490.9451511273764
435 0.7344344344344345 137.92570069180906 2445.471642176383
436 0.7354354354354354 135.5001747083314 2400.873698273249
437 0.7364364364364364 133.1188605647221 2357.133438520157
438 0.7374374374374375 130.78090850577055 2314.233369333359
439 0.7384384384384384 128.4854860972247 2272.1563755614065
440 0.7394394394394395 126.23177785133143 2230.8857118184196
441 0.7404404404404404 124.01898486095658 2190.404994027129
442 0.7414414414414414 121.84632444205789 2150.6981911659987
443 0.7424424424424425 119.71302978432337 2111.749617215519
444 0.7434434434434434 117.61834960977716 2073.5439232985505
445 0.7444444444444445 115.56154783914923 2036.0660900096216
446 0.7454454454454454 113.54190326584067 1999.30141992868
447 0.7464464464464464 111.55870923728492 1963.2355303143615
448 0.7474474474474475 109.61127334353858 1927.8543459724056
449 0.7484484484484484 107.69891711292524 1893.1440922947497
450 0.7494494494494495 105.82097571456127 1859.0912884649529
451 0.7504504504504504 103.97679766760487 1825.682740825864
452 0.7514514514514514 102.16574455706086 1792.9055364053243
453 0.7524524524524525 100.3871907559917 1760.7470365960658
454 0.7534534534534534 98.64052315397893 1729.1948709858639
455 0.7544544544544545 96.92514089168377 1698.2369313341387
456 0.7554554554554554 95.24045510137198 1667.8613656915236
457 0.7564564564564564 93.58588865324728 1638.0565726585635
458 0.7574574574574575 91.96087590746991 1608.8111957803294
459 0.7584584584584584 90.36486247171591 1580.1141180733832
460 0.7594594594594595 88.79730496415128 1551.9544566818859
461 0.7604604604604605 87.25767078169244 1524.321557659624
462 0.7614614614614614 85.74543787342701 1497.2049908748083
463 0.7624624624624625 84.26009451907596 1470.5945450346367
464 0.7634634634634634 82.80113911237736 1444.4802228266337
465 0.7644644644644645 81.36807994927428 1418.8522361738524
466 0.7654654654654655 79.96043502080086 1393.7010016012332
467 0.7664664664664664 78.57773181054657 1369.017135710204
468 0.7674674674674675 77.21950709660211 1344.7914507590467
469 0.7684684684684684 75.88530675787536 1321.0149503462942
470 0.7694694694694695 74.5746855846771 1297.6788251946637
471 0.7704704704704705 73.28720709348019 1274.7744490331127
472 0.7714714714714714 72.02244334574932 1252.2933745745024
473 0.7724724724724725 70.7799747707537 1230.2273295866648
474 0.7734734734734734 69.55938999226476 1208.5682130544774
475 0.7744744744744745 68.36028565905028 1187.3080914307604
476 0.7754754754754755 67.1822662790812 1166.4391949738979
477 0.7764764764764764 66.02494405735786 1145.953914169937
478 0.7774774774774775 64.88793873727907 1125.8447962372416
479 0.7784784784784784 63.77087744546888 1106.1045417116234
480 0.7794794794794795 62.673394539980706 1086.7260011099945
481 0.7804804804804805 61.59513146180574 1067.702171670714
482 0.7814814814814814 60.535736589603424 1049.0261941686626
483 0.7824824824824825 59.49486509758493 1030.691349803324
484 0.7834834834834834 58.47217881647705 1012.6910571581091
485 0.7844844844844845 57.46734609749108 995.018869229109
486 0.7854854854854855 56.480041679237196 977.6684705217757
487 0.7864864864864864 55.509946557506716 960.6336742137106
488 0.7874874874874875 54.55674785786485 943.9084193821111
489 0.7884884884884884 53.6201387109873 927.4867682942828
490 0.7894894894894895 52.69981813067533 911.3629037596488
491 0.7904904904904905 51.795490894494996 895.5311265419009
492 0.7914914914914915 50.906867426974216 879.98585282974
493 0.7924924924924925 50.03366368530526 864.7216117648953
494 0.7934934934934934 49.17560104749159 849.7330430259906
495 0.7944944944944945 48.33240620288718 835.0148944669761
496 0.7954954954954955 47.50381104507272 820.5620198088121
497 0.7964964964964965 46.68955256701621 806.3693763831303
498 0.7974974974974975 45.889372758466095 792.4320229266448
499 0.7984984984984984 45.10301850552908 778.7451174251393
500 0.7994994994994995 44.330241492378775 765.3039150057863
501 0.8005005005005006 43.5707981050541 752.1037658767625
502 0.8015015015015015 42.82444933729399 739.1401133129344
503 0.8025025025025025 42.09096069836645 726.4084916865907
504 0.8035035035035034 41.37010212284884 713.9045245421821
505 0.8045045045045045 40.66164788231008 701.6239227139391
506 0.8055055055055056 39.96537649885966 689.562482485482
507 0.8065065065065065 39.281070660516086 677.7160837903417
